"","Entity","Code","Year","Urban.pop"
"8648","Nigeria","NGA",2010,43.47999954
"8709","North Korea","PRK",2010,60.3769989
"8770","North Macedonia","MKD",2010,57.0890007
"8831","Northern Mariana Islands","MNP",2010,90.9489975
"8892","Norway","NOR",2010,79.10199738
"8953","Oman","OMN",2010,75.16100311
"9014","Pakistan","PAK",2010,34.99700165
"9075","Palau","PLW",2010,74.81700134
"9136","Palestine","PSE",2010,74.14900208
"9197","Panama","PAN",2010,65.13999939
"9258","Papua New Guinea","PNG",2010,13.01900005
"9319","Paraguay","PRY",2010,59.26100159
"9380","Peru","PER",2010,76.43000031
"9441","Philippines","PHL",2010,45.33200073
"9502","Poland","POL",2010,60.89199829
"9563","Portugal","PRT",2010,60.56700134
"9624","Puerto Rico","PRI",2010,93.82499695
"9685","Qatar","QAT",2010,98.50099945
"9746","Romania","ROU",2010,53.82899857
"9807","Russia","RUS",2010,73.68699646
"9868","Rwanda","RWA",2010,16.93400002
"9929","Saint Kitts and Nevis","KNA",2010,31.3220005
"9990","Saint Lucia","LCA",2010,18.45000076
"10051","Saint Vincent and the Grenadines","VCT",2010,48.96099854
"10112","Samoa","WSM",2010,20.07799911
"10173","San Marino","SMR",2010,95.73999786
"10234","Sao Tome and Principe","STP",2010,64.95200348
"10295","Saudi Arabia","SAU",2010,82.08399963
"10356","Senegal","SEN",2010,43.77299881
"10417","Serbia","SRB",2010,54.99300003
"10478","Seychelles","SYC",2010,53.33599854
"10539","Sierra Leone","SLE",2010,38.85599899
"10600","Singapore","SGP",2010,100
"10661","Sint Maarten (Dutch part)","SXM",2010,100
"10722","Slovakia","SVK",2010,54.68500137
"10783","Slovenia","SVN",2010,52.65800095
"10844","Solomon Islands","SLB",2010,20.04800034
"10905","Somalia","SOM",2010,39.31000137
"10966","South Africa","ZAF",2010,62.2179985
"11027","South Korea","KOR",2010,81.93599701
"11088","South Sudan","SSD",2010,17.86000061
"11149","Spain","ESP",2010,78.44200134
"11210","Sri Lanka","LKA",2010,18.22599983
"11271","Sub-Saharan Africa","",2010,35.99838257
"11332","Sudan","SDN",2010,33.0890007
"11393","Suriname","SUR",2010,66.34400177
"11454","Sweden","SWE",2010,85.05599976
"11515","Switzerland","CHE",2010,73.60700226
"11576","Syria","SYR",2010,55.59999847
"11637","Tajikistan","TJK",2010,26.52000046
"11698","Tanzania","TZA",2010,28.11400032
"11759","Thailand","THA",2010,43.85599899
"11820","Timor","TLS",2010,27.73200035
"11881","Togo","TGO",2010,37.53300095
"11942","Tonga","TON",2010,23.38899994
"12003","Trinidad and Tobago","TTO",2010,54.02500153
"12064","Tunisia","TUN",2010,66.65699768
"12125","Turkey","TUR",2010,70.82499695
"12186","Turkmenistan","TKM",2010,48.49100113
"12247","Turks and Caicos Islands","TCA",2010,90.22799683
"12308","Tuvalu","TUV",2010,54.79600143
"12369","Uganda","UGA",2010,19.38299942
"12430","Ukraine","UKR",2010,68.59600067
"12491","United Arab Emirates","ARE",2010,84.08699799
"12552","United Kingdom","GBR",2010,81.30200195
"12613","United States","USA",2010,80.77200317
"12674","United States Virgin Islands","VIR",2010,94.59400177
"12734","Uruguay","URY",2010,94.41400146
"12795","Uzbekistan","UZB",2010,50.95600128
"12856","Vanuatu","VUT",2010,24.46199989
"12917","Venezuela","VEN",2010,88.08300018
"12978","Vietnam","VNM",2010,30.41699982
"13039","Yemen","YEM",2010,31.77599907
"13100","Zambia","ZMB",2010,39.35499954
"13161","Zimbabwe","ZWE",2010,33.19599915
